Age,Attrition,Department,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany
38,No,Research & Development,Life Sciences,79,4,Female,2,Laboratory Technician,4,Single,2406,No,3,10
50,No,Research & Development,Medical,80,2,Female,5,Research Director,3,Divorced,18740,Yes,2,27
59,No,Sales,Life Sciences,81,1,Female,3,Sales Executive,1,Single,7637,No,2,21
36,No,Research & Development,Technical Degree,83,3,Female,3,Healthcare Representative,3,Divorced,10096,No,3,17
55,No,Research & Development,Medical,84,4,Female,4,Manager,3,Divorced,14756,Yes,3,5
36,No,Research & Development,Life Sciences,85,2,Male,2,Manufacturing Director,2,Single,6499,No,3,6
45,No,Research & Development,Life Sciences,86,2,Male,3,Research Scientist,1,Divorced,9724,No,3,1
35,No,Research & Development,Medical,88,2,Male,1,Research Scientist,1,Married,2194,No,2,3
36,Yes,Research & Development,Medical,90,4,Male,1,Research Scientist,3,Married,3388,Yes,2,1
59,No,Sales,Life Sciences,91,1,Female,2,Sales Executive,3,Single,5473,No,2,4
29,No,Research & Development,Life Sciences,94,3,Male,1,Research Scientist,2,Married,2703,No,3,5
31,No,Research & Development,Medical,95,3,Male,1,Research Scientist,2,Single,2501,No,3,1
32,No,Research & Development,Life Sciences,96,2,Male,2,Research Scientist,2,Married,6220,No,3,10
36,No,Research & Development,Life Sciences,97,2,Female,1,Laboratory Technician,4,Married,3038,No,3,1
31,No,Research & Development,Life Sciences,98,3,Female,2,Manufacturing Director,4,Single,4424,No,3,11
35,No,Sales,Marketing,100,3,Male,2,Sales Executive,1,Single,4312,No,3,15
45,No,Research & Development,Other,101,4,Male,3,Research Director,1,Married,13245,Yes,4,0
37,No,Research & Development,Medical,102,1,Male,3,Research Director,3,Single,13664,No,4,5
46,No,Human Resources,Medical,103,2,Male,2,Human Resources,2,Divorced,5021,Yes,3,4
30,No,Research & Development,Life Sciences,104,4,Male,2,Laboratory Technician,4,Married,5126,Yes,2,10
35,No,Research & Development,Medical,105,2,Male,1,Research Scientist,3,Single,2859,No,3,6
55,No,Sales,Life Sciences,106,1,Male,3,Sales Executive,4,Married,10239,No,3,1
38,No,Research & Development,Medical,107,2,Female,2,Research Scientist,4,Divorced,5329,Yes,3,13
34,No,Research & Development,Medical,110,1,Male,2,Manufacturing Director,2,Married,4325,No,3,5
56,No,Research & Development,Life Sciences,112,4,Male,3,Manufacturing Director,4,Single,7260,No,2,6
23,No,Sales,Technical Degree,113,3,Male,1,Sales Representative,1,Divorced,2322,No,3,0
51,No,Research & Development,Life Sciences,116,4,Male,1,Laboratory Technician,4,Married,2075,No,3,4
30,No,Research & Development,Life Sciences,117,3,Male,2,Healthcare Representative,4,Married,4152,No,3,11
46,Yes,Sales,Medical,118,3,Male,3,Sales Executive,4,Single,9619,No,3,9
40,No,Research & Development,Life Sciences,119,3,Male,4,Healthcare Representative,2,Married,13503,No,2,22
51,No,Sales,Marketing,120,3,Male,2,Sales Executive,4,Single,5441,Yes,1,10
30,No,Sales,Medical,121,3,Female,2,Sales Executive,2,Divorced,5209,Yes,2,11
46,No,Research & Development,Medical,124,3,Male,3,Healthcare Representative,1,Married,10673,Yes,2,10
32,No,Sales,Medical,125,2,Male,2,Sales Executive,3,Single,5010,No,3,11
54,No,Research & Development,Technical Degree,126,1,Female,3,Research Director,3,Married,13549,No,1,4
24,No,Sales,Other,128,1,Female,2,Sales Executive,3,Married,4999,No,2,3
28,No,Sales,Medical,129,2,Male,2,Sales Executive,3,Married,4221,No,4,5
58,No,Sales,Medical,131,4,Male,4,Sales Executive,3,Single,13872,No,2,37
44,No,Research & Development,Medical,132,2,Male,2,Laboratory Technician,2,Married,2042,No,4,3
37,Yes,Human Resources,Human Resources,133,3,Male,1,Human Resources,1,Divorced,2073,Yes,3,3
32,No,Research & Development,Life Sciences,134,4,Male,1,Research Scientist,1,Single,2956,No,3,1
20,Yes,Research & Development,Life Sciences,137,4,Female,1,Laboratory Technician,4,Single,2926,Yes,3,1
34,No,Research & Development,Other,138,1,Female,2,Research Scientist,3,Single,4809,No,3,16
37,No,Research & Development,Life Sciences,139,3,Male,2,Healthcare Representative,4,Divorced,5163,No,4,1
59,No,Human Resources,Human Resources,140,3,Female,5,Manager,4,Married,18844,No,3,3
50,No,Research & Development,Life Sciences,141,1,Female,5,Research Director,2,Married,18172,Yes,2,8
25,Yes,Sales,Marketing,142,3,Male,2,Sales Executive,3,Single,5744,Yes,3,6
25,No,Research & Development,Medical,143,4,Male,1,Research Scientist,4,Married,2889,No,3,2
22,No,Research & Development,Medical,144,2,Female,1,Laboratory Technician,4,Single,2871,No,3,0
51,No,Research & Development,Medical,145,1,Female,3,Healthcare Representative,1,Single,7484,No,2,13
34,Yes,Research & Development,Life Sciences,147,1,Male,2,Laboratory Technician,3,Single,6074,Yes,3,9
54,No,Human Resources,Human Resources,148,4,Female,4,Manager,4,Single,17328,Yes,3,5
24,No,Research & Development,Life Sciences,150,2,Male,1,Laboratory Technician,3,Married,2774,No,3,5
34,No,Research & Development,Life Sciences,151,3,Female,2,Research Scientist,2,Divorced,4505,No,3,1
37,No,Sales,Life Sciences,152,3,Male,3,Sales Executive,4,Single,7428,No,3,5
34,No,Research & Development,Medical,153,3,Female,3,Manager,1,Single,11631,No,3,11
36,No,Sales,Technical Degree,154,2,Female,3,Sales Executive,4,Married,9738,No,3,9
36,No,Research & Development,Life Sciences,155,1,Female,1,Laboratory Technician,4,Divorced,2835,No,3,1
43,No,Sales,Life Sciences,158,3,Male,4,Manager,4,Married,16959,Yes,4,25
30,No,Research & Development,Life Sciences,159,1,Male,1,Research Scientist,3,Divorced,2613,No,2,10
33,No,Sales,Marketing,160,3,Male,2,Sales Executive,2,Married,6146,No,4,7
56,Yes,Research & Development,Life Sciences,161,2,Female,1,Research Scientist,2,Married,4963,Yes,3,5
51,No,Research & Development,Life Sciences,162,1,Male,5,Research Director,3,Single,19537,No,3,20
31,Yes,Sales,Life Sciences,163,2,Male,2,Sales Executive,3,Married,6172,Yes,2,7
26,No,Research & Development,Other,164,3,Female,1,Research Scientist,2,Married,2368,No,2,5
58,Yes,Research & Development,Medical,165,4,Female,3,Healthcare Representative,4,Married,10312,No,2,40
19,Yes,Sales,Marketing,167,4,Male,1,Sales Representative,3,Single,1675,Yes,2,0
22,No,Research & Development,Technical Degree,169,3,Male,1,Laboratory Technician,4,Married,2523,No,3,2
49,No,Research & Development,Medical,170,3,Female,2,Manufacturing Director,1,Married,6567,No,2,15
43,No,Research & Development,Medical,171,2,Female,1,Research Scientist,3,Single,4739,No,3,3
50,No,Sales,Marketing,174,3,Female,3,Sales Executive,4,Single,9208,No,3,2
31,Yes,Sales,Life Sciences,175,2,Female,2,Sales Executive,3,Married,4559,Yes,3,2
41,No,Sales,Life Sciences,176,3,Male,3,Sales Executive,3,Divorced,8189,Yes,3,9
26,No,Human Resources,Life Sciences,177,3,Female,1,Human Resources,3,Married,2942,No,3,8
36,No,Research & Development,Medical,178,2,Male,2,Manufacturing Director,2,Divorced,4941,No,3,3
51,Yes,Research & Development,Life Sciences,179,1,Male,3,Manufacturing Director,4,Single,10650,No,3,4
39,No,Sales,Life Sciences,182,4,Female,2,Sales Executive,3,Married,5902,No,4,15
25,No,Sales,Life Sciences,183,1,Male,2,Sales Executive,3,Married,8639,No,3,2
30,No,Human Resources,Human Resources,184,3,Male,2,Human Resources,4,Married,6347,Yes,1,11
32,Yes,Research & Development,Medical,190,1,Female,1,Laboratory Technician,1,Single,4200,No,4,5
45,No,Research & Development,Medical,192,3,Male,1,Research Scientist,4,Single,3452,No,2,6
38,No,Research & Development,Technical Degree,193,4,Female,2,Research Scientist,3,Single,4317,Yes,3,3
30,No,Research & Development,Life Sciences,194,1,Female,1,Research Scientist,3,Single,2632,No,2,5
32,No,Sales,Medical,195,4,Male,2,Sales Executive,4,Divorced,4668,No,4,8
30,No,Research & Development,Technical Degree,197,4,Female,1,Research Scientist,1,Divorced,3204,No,3,3
30,No,Research & Development,Medical,198,2,Male,1,Laboratory Technician,4,Single,2720,No,3,5
41,No,Research & Development,Life Sciences,199,4,Male,4,Manager,1,Divorced,17181,No,2,7
41,No,Research & Development,Life Sciences,200,3,Male,1,Laboratory Technician,1,Married,2238,No,3,5
19,No,Research & Development,Medical,201,2,Female,1,Laboratory Technician,2,Single,1483,No,3,1
40,No,Research & Development,Medical,202,2,Female,2,Research Scientist,2,Divorced,5605,No,3,20
35,No,Sales,Marketing,204,3,Male,3,Sales Executive,2,Married,7295,No,3,10
53,No,Sales,Marketing,205,2,Male,2,Sales Representative,3,Married,2306,Yes,1,7
45,No,Research & Development,Life Sciences,206,2,Male,2,Laboratory Technician,2,Divorced,2348,No,1,17
32,No,Sales,Marketing,207,2,Female,3,Sales Executive,4,Single,8998,No,3,9
29,No,Research & Development,Technical Degree,208,4,Male,2,Manufacturing Director,3,Married,4319,No,3,10
51,No,Research & Development,Medical,211,2,Male,2,Manufacturing Director,3,Married,6132,No,3,1
58,No,Research & Development,Medical,214,2,Female,1,Research Scientist,2,Married,3346,Yes,2,1
40,No,Sales,Marketing,215,3,Male,3,Sales Executive,4,Married,10855,No,2,12
34,No,Sales,Marketing,216,3,Female,1,Sales Representative,3,Married,2231,No,3,4
22,No,Research & Development,Medical,217,3,Male,1,Research Scientist,4,Married,2323,No,3,2
27,No,Research & Development,Medical,218,4,Male,1,Research Scientist,2,Divorced,2024,No,1,2
28,No,Research & Development,Medical,221,3,Male,1,Research Scientist,4,Married,2713,No,1,5
57,No,Research & Development,Life Sciences,223,3,Male,3,Healthcare Representative,4,Divorced,9439,Yes,1,5
27,No,Research & Development,Medical,224,3,Male,1,Research Scientist,3,Divorced,2566,Yes,2,1
50,No,Research & Development,Life Sciences,226,3,Female,5,Manager,2,Single,19926,No,3,5
41,No,Research & Development,Life Sciences,227,1,Male,1,Research Scientist,3,Divorced,2451,No,3,9
30,No,Sales,Life Sciences,228,2,Female,3,Sales Executive,4,Married,9419,No,3,10
38,No,Sales,Life Sciences,230,1,Female,2,Sales Executive,4,Single,8686,No,4,8
32,No,Research & Development,Life Sciences,231,3,Male,1,Research Scientist,3,Single,3038,No,3,5
27,No,Research & Development,Technical Degree,233,3,Male,1,Research Scientist,2,Married,3058,Yes,2,5
19,Yes,Sales,Technical Degree,235,3,Female,1,Sales Representative,1,Single,2325,No,4,0
36,No,Research & Development,Medical,238,4,Male,1,Laboratory Technician,2,Single,2088,No,2,8
30,No,Research & Development,Medical,239,3,Male,2,Laboratory Technician,1,Divorced,3072,No,3,12
45,No,Sales,Life Sciences,240,3,Female,2,Sales Executive,1,Divorced,5006,Yes,4,5
56,No,Research & Development,Life Sciences,241,3,Female,1,Research Scientist,1,Divorced,4257,Yes,3,2
33,No,Research & Development,Life Sciences,242,3,Male,1,Research Scientist,4,Single,2500,No,4,3
19,Yes,Research & Development,Life Sciences,243,2,Male,1,Laboratory Technician,4,Single,1102,No,2,1
46,No,Sales,Marketing,244,2,Female,3,Sales Executive,1,Divorced,10453,No,3,24
38,No,Research & Development,Life Sciences,245,3,Female,1,Laboratory Technician,4,Single,2288,No,3,2
31,No,Research & Development,Medical,246,3,Female,1,Research Scientist,4,Married,3929,Yes,3,4
34,No,Research & Development,Medical,247,4,Female,1,Research Scientist,2,Single,2311,No,3,3
41,Yes,Sales,Marketing,248,2,Female,1,Sales Representative,2,Single,3140,Yes,2,4
50,No,Research & Development,Medical,249,3,Male,1,Laboratory Technician,3,Married,3690,No,2,3
53,No,Research & Development,Medical,250,4,Female,2,Manufacturing Director,1,Divorced,4450,No,3,4
33,No,Research & Development,Medical,252,4,Female,1,Research Scientist,2,Married,2756,No,3,8
40,No,Research & Development,Medical,253,4,Female,5,Manager,3,Married,19033,No,3,20
55,No,Research & Development,Medical,254,3,Male,5,Research Director,2,Single,18722,No,3,24
34,No,Research & Development,Life Sciences,256,4,Male,2,Manufacturing Director,3,Married,9547,No,2,10
51,No,Research & Development,Medical,258,4,Female,4,Healthcare Representative,2,Single,13734,No,3,7
52,No,Research & Development,Life Sciences,259,3,Male,5,Manager,3,Married,19999,No,3,33
27,No,Research & Development,Medical,260,4,Female,1,Research Scientist,2,Single,2279,No,2,7
35,Yes,Research & Development,Life Sciences,261,2,Male,2,Manufacturing Director,3,Married,5916,Yes,3,1
43,No,Research & Development,Medical,262,4,Male,1,Research Scientist,4,Divorced,2089,No,4,5
45,No,Research & Development,Medical,264,1,Male,4,Manager,4,Married,16792,No,3,20
37,No,Research & Development,Life Sciences,267,2,Male,1,Research Scientist,1,Married,3564,Yes,2,8
35,No,Research & Development,Medical,269,2,Female,2,Laboratory Technician,2,Single,4425,No,3,6
42,No,Research & Development,Medical,270,3,Female,2,Manufacturing Director,3,Divorced,5265,No,3,5
38,No,Research & Development,Life Sciences,271,4,Male,2,Manufacturing Director,3,Married,6553,No,3,1
38,No,Research & Development,Technical Degree,273,4,Male,2,Manufacturing Director,4,Married,6261,No,1,7
27,No,Research & Development,Technical Degree,274,3,Male,2,Manufacturing Director,1,Married,4298,No,3,2
49,No,Research & Development,Life Sciences,275,4,Male,2,Manufacturing Director,4,Divorced,6804,Yes,3,7
34,No,Research & Development,Medical,277,4,Male,1,Research Scientist,3,Divorced,3815,Yes,4,5
40,No,Research & Development,Medical,281,3,Male,2,Laboratory Technician,4,Married,2741,Yes,4,7
38,Yes,Research & Development,Medical,282,2,Male,2,Healthcare Representative,1,Married,6673,Yes,3,1
29,Yes,Sales,Marketing,283,2,Female,3,Sales Executive,4,Married,7639,No,2,10
22,No,Research & Development,Life Sciences,284,4,Male,1,Research Scientist,2,Divorced,2328,Yes,2,4
36,No,Research & Development,Medical,286,2,Female,1,Laboratory Technician,4,Single,2153,No,3,8
40,No,Research & Development,Life Sciences,287,4,Male,2,Healthcare Representative,4,Married,4876,No,1,3
46,No,Research & Development,Medical,288,4,Male,3,Healthcare Representative,1,Divorced,9396,No,3,4
32,Yes,Sales,Medical,291,4,Male,3,Sales Executive,4,Married,10400,No,2,14
30,No,Research & Development,Life Sciences,292,3,Male,3,Manufacturing Director,3,Single,8474,No,3,11
27,No,Sales,Life Sciences,293,4,Female,2,Sales Executive,3,Single,9981,No,3,7
51,No,Research & Development,Life Sciences,296,2,Male,3,Research Director,2,Married,12490,No,1,10
30,Yes,Research & Development,Technical Degree,297,4,Female,1,Research Scientist,1,Single,2657,Yes,3,5
41,No,Sales,Life Sciences,298,4,Female,3,Manager,4,Single,13591,Yes,3,1
30,Yes,Sales,Marketing,299,3,Female,2,Sales Executive,1,Single,6696,No,2,6
29,Yes,Research & Development,Technical Degree,300,3,Male,1,Research Scientist,3,Single,2058,No,2,6
45,No,Sales,Medical,302,4,Female,3,Sales Executive,4,Single,8865,No,3,19
54,No,Sales,Marketing,303,4,Female,2,Sales Executive,1,Married,5940,No,3,6
36,No,Research & Development,Life Sciences,304,4,Male,2,Laboratory Technician,2,Single,5914,No,4,13
33,No,Research & Development,Medical,305,3,Female,1,Research Scientist,2,Married,2622,No,3,3
37,No,Research & Development,Other,306,2,Male,3,Research Director,4,Divorced,12185,Yes,3,10
38,No,Sales,Life Sciences,307,1,Male,3,Sales Executive,3,Divorced,10609,No,2,16
31,No,Research & Development,Medical,308,3,Male,2,Manufacturing Director,3,Married,4345,No,3,5
59,No,Research & Development,Life Sciences,309,3,Male,1,Research Scientist,4,Married,2177,No,3,1
37,No,Sales,Marketing,311,1,Male,1,Sales Representative,4,Divorced,2793,No,3,9
29,No,Sales,Medical,312,2,Female,3,Sales Executive,4,Married,7918,No,3,11
35,No,Sales,Marketing,314,3,Female,3,Sales Executive,3,Single,8789,No,4,10
29,Yes,Research & Development,Medical,315,3,Male,1,Research Scientist,4,Single,2389,Yes,2,4
52,No,Research & Development,Life Sciences,316,3,Female,1,Laboratory Technician,4,Single,3212,No,2,2
42,No,Research & Development,Technical Degree,319,3,Male,5,Manager,4,Married,19232,No,3,22
59,No,Human Resources,Medical,321,2,Male,1,Human Resources,3,Married,2267,No,2,2
50,No,Sales,Medical,323,4,Female,5,Manager,4,Divorced,19517,No,2,7
33,Yes,Research & Development,Medical,325,3,Male,1,Laboratory Technician,4,Married,2436,Yes,1,5
43,No,Sales,Marketing,327,4,Female,4,Manager,4,Married,16064,Yes,3,17
33,Yes,Research & Development,Life Sciences,328,1,Female,1,Laboratory Technician,1,Married,2707,No,4,9
52,No,Sales,Life Sciences,329,1,Male,5,Manager,3,Single,19068,Yes,4,33
32,No,Sales,Life Sciences,330,3,Female,1,Sales Representative,2,Married,3931,No,3,4
32,Yes,Research & Development,Life Sciences,331,4,Male,1,Laboratory Technician,3,Single,3730,Yes,1,3
39,No,Research & Development,Medical,332,3,Female,1,Laboratory Technician,3,Divorced,2232,No,3,3
32,No,Sales,Marketing,333,3,Male,2,Sales Executive,4,Married,4465,No,3,3
41,No,Research & Development,Life Sciences,334,3,Male,2,Research Scientist,1,Divorced,3072,No,2,1
40,No,Research & Development,Technical Degree,335,1,Male,2,Research Scientist,4,Divorced,3319,No,3,9
45,No,Research & Development,Other,336,3,Male,5,Manager,4,Married,19202,No,3,24
31,No,Research & Development,Medical,337,2,Male,3,Research Director,3,Divorced,13675,No,3,2
33,No,Research & Development,Life Sciences,338,3,Female,1,Research Scientist,4,Married,2911,No,2,2
34,No,Research & Development,Life Sciences,339,4,Male,2,Manufacturing Director,1,Married,5957,No,3,11
37,No,Research & Development,Medical,340,3,Female,1,Research Scientist,1,Married,3920,No,2,3
45,No,Research & Development,Life Sciences,341,1,Male,2,Manufacturing Director,3,Married,6434,No,3,3
37,Yes,Research & Development,Medical,342,1,Male,3,Manufacturing Director,3,Divorced,10048,No,3,1
39,No,Research & Development,Technical Degree,343,3,Female,3,Healthcare Representative,3,Single,10938,No,3,19
29,No,Research & Development,Life Sciences,346,3,Male,1,Research Scientist,4,Single,2340,No,3,6
42,No,Research & Development,Life Sciences,347,4,Female,2,Research Scientist,1,Single,6545,Yes,3,3
29,No,Sales,Marketing,349,4,Male,2,Sales Executive,4,Divorced,6931,No,3,3
25,No,Research & Development,Life Sciences,350,1,Female,2,Manufacturing Director,3,Married,4898,No,3,4
42,No,Research & Development,Medical,351,4,Female,1,Laboratory Technician,1,Divorced,2593,Yes,3,9
40,No,Research & Development,Medical,352,1,Male,5,Research Director,3,Divorced,19436,No,3,21
51,No,Research & Development,Life Sciences,353,3,Male,1,Research Scientist,4,Married,2723,No,2,1
31,Yes,Research & Development,Medical,355,3,Male,1,Laboratory Technician,2,Single,3479,No,4,5
32,No,Research & Development,Life Sciences,359,2,Male,1,Laboratory Technician,2,Married,2794,No,1,5
38,No,Sales,Life Sciences,361,4,Male,2,Sales Executive,4,Married,5249,No,3,8
32,No,Research & Development,Technical Degree,362,4,Male,2,Laboratory Technician,1,Single,2176,No,3,6
46,No,Sales,Technical Degree,363,3,Female,4,Manager,2,Married,16872,Yes,2,7
28,Yes,Research & Development,Life Sciences,364,1,Male,1,Laboratory Technician,3,Single,3485,No,1,0
29,No,Sales,Medical,366,1,Male,2,Sales Executive,2,Married,6644,No,3,0
31,No,Research & Development,Medical,367,2,Male,2,Healthcare Representative,4,Married,5582,No,3,9
25,No,Research & Development,Life Sciences,369,2,Male,2,Healthcare Representative,1,Divorced,4000,No,3,6
45,No,Research & Development,Medical,372,3,Male,4,Healthcare Representative,4,Married,13496,Yes,3,20
36,No,Research & Development,Life Sciences,373,4,Male,1,Laboratory Technician,4,Married,3210,No,3,15
55,No,Research & Development,Medical,374,4,Male,5,Manager,1,Single,19045,Yes,3,36
47,Yes,Research & Development,Life Sciences,376,1,Male,3,Manager,2,Married,11849,Yes,2,10
28,No,Research & Development,Medical,377,4,Male,1,Research Scientist,4,Married,2070,No,2,5
37,No,Sales,Medical,378,3,Male,2,Sales Executive,4,Married,6502,No,4,5
21,No,Research & Development,Medical,379,4,Male,1,Research Scientist,3,Single,3230,No,4,3
37,No,Research & Development,Medical,380,1,Female,3,Research Director,4,Divorced,13603,Yes,3,5
35,No,Research & Development,Life Sciences,381,2,Female,3,Manager,2,Divorced,11996,No,2,7
38,No,Sales,Medical,382,1,Female,2,Sales Executive,1,Divorced,5605,Yes,3,8
26,No,Research & Development,Life Sciences,384,3,Female,2,Manufacturing Director,2,Divorced,6397,No,1,6
50,No,Research & Development,Life Sciences,385,1,Male,5,Research Director,2,Divorced,19144,No,2,10
53,No,Research & Development,Medical,386,3,Male,4,Research Director,3,Married,17584,Yes,2,5
42,No,Sales,Life Sciences,387,2,Male,2,Sales Executive,3,Married,4907,No,3,20
29,No,Sales,Life Sciences,388,2,Male,2,Sales Executive,4,Single,4554,No,2,10
55,No,Research & Development,Technical Degree,389,2,Male,2,Laboratory Technician,4,Married,5415,Yes,3,10
26,No,Research & Development,Medical,390,1,Male,2,Healthcare Representative,1,Married,4741,Yes,3,5
37,No,Research & Development,Life Sciences,391,4,Female,1,Research Scientist,4,Single,2115,No,3,17
44,Yes,Research & Development,Life Sciences,392,4,Male,1,Laboratory Technician,3,Divorced,3161,Yes,1,1
38,No,Research & Development,Life Sciences,393,4,Male,2,Healthcare Representative,4,Divorced,5745,No,3,2
26,Yes,Research & Development,Medical,394,1,Male,1,Laboratory Technician,2,Divorced,2373,Yes,3,3
28,No,Research & Development,Life Sciences,395,4,Female,1,Research Scientist,4,Single,3310,No,3,5
49,No,Research & Development,Life Sciences,396,3,Female,5,Research Director,1,Single,18665,Yes,3,3
36,No,Research & Development,Technical Degree,397,3,Male,2,Research Scientist,2,Single,4485,No,3,8
31,No,Sales,Marketing,399,4,Female,1,Sales Representative,2,Divorced,2789,No,2,2
26,Yes,Sales,Marketing,401,4,Male,2,Sales Executive,4,Single,5828,Yes,3,8
